Time stamp,Water level in tunnel L2,Water volume in tunnel V,Sum of pumped flow to WWTP F2,Inflow to tunnel F1,Pump flow 1.1,Pump flow 1.2,Pump flow 1.3,Pump flow 1.4,Pump flow 2.1,Pump flow 2.2,Pump flow 2.3,Pump flow 2.4,Pump efficiency 1.1,Pump efficiency 1.2,Pump efficiency 1.3,Pump efficiency 1.4,Pump efficiency 2.1,Pump efficiency 2.2,Pump efficiency 2.3,Pump efficiency 2.4,Pump frequency 1.1,Pump frequency 1.2,Pump frequency 1.3,Pump frequency 1.4,Pump frequency 2.1,Pump frequency 2.2,Pump frequency 2.3,Pump frequency 2.4,Electricity price 1: high,Electricity price 2: normal
15.11.2024 2.15.00,2.488008261,11245.90723,5220.229004,1162.617798,0,0,0,0,0,3168.56665,2054.018555,0,0,0,0,0,0,322.5005493,294.0516663,0,0,0,0,0,0,47.35833359,47.33722305,0,3.688,0.297
15.11.2024 2.30.00,2.466699123,11026.31152,5193.280273,1078.724365,0,0,0,0,0,3163.876221,2028.53125,0,0,0,0,0,0,322.2158203,290.367981,0,0,0,0,0,0,47.36457825,47.33409882,0,3.688,0.297
15.11.2024 2.45.00,2.440322638,10752.7207,5232.427246,1034.515991,0,0,0,0,0,3165.57251,2066.263916,0,0,0,0,0,0,322.4869385,296.0170288,0,0,0,0,0,0,47.36683273,47.33097076,0,3.688,0.297
15.11.2024 3.00.00,2.410143375,10441.85645,5202.257324,989.7000732,0,0,0,0,0,3158.475342,2048.23584,0,0,0,0,0,0,322.459198,294.444458,0,0,0,0,0,0,47.36558151,47.32831955,0,3.625,0.295
15.11.2024 3.15.00,2.373093128,10082.73242,5212.921875,944.1064453,0,0,0,0,0,3154.692139,2059.738037,0,0,0,0,0,0,322.8363647,296.2711182,0,0,0,0,0,0,47.36433411,47.33027649,0,3.625,0.295
15.11.2024 3.30.00,2.331496716,9675.844727,5213.586426,896.5089111,0,0,0,0,0,3148.856201,2065.587891,0,0,0,0,0,0,322.6431885,297.660553,0,0,0,0,0,0,47.36308289,47.33340073,0,3.625,0.295
15.11.2024 3.45.00,2.283646822,9227.597656,5220.862793,856.9686279,0,0,0,0,0,3141.845215,2078.883545,0,0,0,0,0,0,323.2426453,301.8664856,0,0,0,0,0,0,47.36183167,47.33652878,0,3.625,0.295
15.11.2024 4.00.00,2.231344223,8732.348633,5211.023926,807.506958,0,0,0,0,0,3131.75708,2078.227783,0,0,0,0,0,0,323.3114014,301.6464844,0,0,0,0,0,0,47.36058044,47.33917999,0,3.563,0.344
15.11.2024 4.15.00,2.171148539,8191.810059,5197.957031,758.9506836,0,0,0,0,0,3121.712158,2076.881836,0,0,0,0,0,0,323.3982544,303.1620483,0,0,0,0,0,0,47.35933304,47.33722305,0,3.563,0.344
15.11.2024 4.30.00,2.105346203,7616.611816,5133.574707,708.1954346,0,0,0,0,0,3105.947754,2028.657349,0,0,0,0,0,0,323.2522888,299.9372253,0,0,0,0,0,0,47.35808563,47.33409882,0,3.563,0.344
15.11.2024 4.45.00,2.031492949,7000.635254,5053.106934,647.3001709,0,0,0,0,0,3095.634033,1959.672729,0,0,0,0,0,0,323.8777771,296.1105652,0,0,0,0,0,0,47.35916519,47.33097076,0,3.563,0.344
15.11.2024 5.00.00,1.951545596,6371.109375,4997.633301,619.8824463,0,0,0,0,0,3080.778076,1916.624756,0,0,0,0,0,0,323.7506714,293.0306091,0,0,0,0,0,0,47.36228943,47.32831955,0,3.665,0.365
15.11.2024 5.15.00,1.862519503,5710.746094,4918.686523,569.3083496,0,0,0,0,0,3059.062744,1859.393677,0,0,0,0,0,0,324.2678833,289.8338318,0,0,0,0,0,0,47.36541367,47.33027649,0,3.665,0.365
15.11.2024 5.30.00,1.76660645,5050.621094,4791.799316,537.8248291,0,0,0,0,0,3019.52832,1776.310303,0,0,0,0,0,0,326.9464417,280.5944519,0,0,0,0,0,0,47.36854172,47.33340073,0,3.665,0.365
15.11.2024 5.45.00,1.670572758,4400.782227,4635.83252,509.1192627,0,0,0,0,0,2966.090088,1669.835083,0,0,0,0,0,0,328.1766663,272.0522156,0,0,0,0,0,0,47.37133408,47.33652878,0,3.665,0.365
15.11.2024 6.00.00,1.556406498,3705.183838,4911.183594,532.1975098,0,0,0,0,0,2945.048584,1964.628906,0,0,0,0,0,0,328.2172241,304.6722107,0,0,0,0,0,0,47.3738327,47.3392601,0,17.992,0.851
15.11.2024 6.15.00,1.427610636,3009.551758,4690.763184,477.0587158,0,0,0,0,0,2824.79126,1866.625,0,0,0,0,0,0,331.5400085,300.644989,0,0,0,0,0,0,47.37633514,47.33818054,0,17.992,0.851
15.11.2024 6.30.00,1.291868925,2349.49585,4227.594238,396.8426514,0,0,0,0,0,2637.570801,1590.849487,0,0,0,0,0,0,333.2900085,283.0329285,0,0,0,0,0,0,47.37882614,47.33613586,0,17.992,0.851
15.11.2024 6.45.00,1.152574897,1774.487183,3798.004639,374.4924927,0,0,0,0,0,2582.247559,1216.167969,0,0,0,0,0,0,333.4158325,268.8042908,0,0,0,0,0,0,47.37473679,47.31328201,0,17.992,0.851
15.11.2024 7.00.00,1.032584429,1371.077515,2945.88208,333.0608521,0,0,0,0,0,2709.854248,239.7367706,0,0,0,0,0,0,369.9985962,61.27444458,0,0,0,0,0,0,48.66915131,11.29761124,0,30.38,3.766
15.11.2024 7.15.00,0.920560479,1030.548828,2962.071533,399.9891968,0,0,0,0,0,2962.027344,0,0,0,0,0,0,0,384.1694336,0,0,0,0,0,0,0,49.17517853,0,0,30.38,3.766
15.11.2024 7.30.00,0.729232788,697.3206787,2771.918945,359.7515869,0,0,0,0,0,2771.680908,0,0,0,0,0,0,0,385.561676,0,0,0,0,0,0,0,49.40538025,0,0,30.38,3.766
15.11.2024 7.45.00,0.51009959,428.7000427,2578.049072,375.8916321,0,0,0,0,0,2578.582275,0,0,0,0,0,0,0,386.3883362,0,0,0,0,0,0,0,49.52135086,0,0,30.38,3.766
15.11.2024 8.00.00,0.158348516,395.9124451,2446.438232,578.8219604,0,0,0,0,0,2448.70752,0,0,0,0,0,0,0,379.0291138,0,0,0,0,0,0,0,49.59732437,0,0,40.589,5.434
15.11.2024 8.15.00,-0.015613596,392.8236084,2316.409912,576.0136414,0,0,0,0,0,2318.740234,0,0,0,0,0,0,0,367.6975403,0,0,0,0,0,0,0,49.58342743,0,0,40.589,5.434
15.11.2024 8.30.00,0.075782165,389.7348022,1909.567139,474.3029785,0,0,0,0,0,1910.711548,0,0,0,0,0,0,0,325.5048218,0,0,0,0,0,0,0,48.78439331,0,0,40.589,5.434
15.11.2024 8.45.00,0.505096078,426.2882996,1894.855347,510.267334,0,0,0,0,0,1890.182495,0,0,0,0,0,0,0,315.8251953,0,0,0,0,0,0,0,48.33356476,0,0,40.589,5.434
15.11.2024 9.00.00,0.687863529,646.9248047,1905.389038,696.9837646,0,0,0,0,0,1905.431519,0,0,0,0,0,0,0,317.5461121,0,0,0,0,0,0,0,48.33620834,0,0,68.196,4.147
15.11.2024 9.15.00,0.842517316,890.7432251,1983.055908,739.5823975,0,0,0,0,0,1984.832642,0,0,0,0,0,0,0,323.4888916,0,0,0,0,0,0,0,48.33745956,0,0,68.196,4.147
15.11.2024 9.30.00,0.95754832,1137.42627,2019.067627,751.4499512,0,0,0,0,0,2020.769165,0,0,0,0,0,0,0,325.3023682,0,0,0,0,0,0,0,48.33870697,0,0,68.196,4.147
15.11.2024 9.45.00,1.060265899,1434.731689,2019.861572,802.270813,0,0,0,0,0,1989.211304,0,0,0,0,0,0,0,321.1998596,0,0,0,0,0,0,0,48.34077454,0,0,68.196,4.147
15.11.2024 10.00.00,1.16045475,1805.991577,2099.453125,896.1231689,0,0,0,0,0,1995.397461,0,0,0,0,0,0,0,322.0766602,0,0,0,0,0,0,0,48.34845734,0,0,74.274,1.127
15.11.2024 10.15.00,1.258866429,2204.913086,2136.308838,932.9987183,0,0,0,0,0,2036.512085,0,0,0,0,0,0,0,326.7377625,0,0,0,0,0,0,0,48.35720825,0,0,74.274,1.127
15.11.2024 10.30.00,1.351621151,2605.58667,2111.558838,928.5632935,0,0,0,0,0,2051.646729,0,0,0,0,0,0,0,327.8027649,0,0,0,0,0,0,0,48.36595917,0,0,74.274,1.127
15.11.2024 10.45.00,1.439668417,2990.220947,2083.907715,905.6112061,0,0,0,0,0,2082.71167,0,0,0,0,0,0,0,329.9516602,0,0,0,0,0,0,0,48.37130356,0,0,74.274,1.127
15.11.2024 11.00.00,1.514161348,3374.855469,2308.71875,961.814209,0,0,0,0,0,1360.13916,962.9274902,0,0,0.061111111,0,0,0,210.9094391,116.0055542,0,0,0.073972218,0,0,0,31.43217087,15.73340416,0,74.399,1.298
15.11.2024 11.15.00,1.557957411,3710.833252,3127.386719,1117.824463,0,58.6829071,0,0,0,0,3062.156006,0,0,27.17555618,0,0,0,0,364.4094543,0,0,7.194749832,0,0,0,0,48.98544312,0,74.399,1.298
15.11.2024 11.30.00,1.603506565,3961.640137,3082.343506,1021.392761,0,0,0,0,0,0,3082.584717,0,0,0.801111102,0,0,0,0,367.3533325,0,0,0.253479332,0,0,0,0,49.09000015,0,74.399,1.298
15.11.2024 11.45.00,1.655155659,4300.978027,3104.633301,1115.496216,0,0,0,0,0,0,3103.975586,0,0,0,0,0,0,0,368.7383423,0,0,0.01929348,0,0,0,0,49.08755493,0,74.399,1.298
15.11.2024 12.00.00,1.71264112,4657.021973,3151.060547,1143.809082,0,0,0,0,0,0,3137.754883,0,0,0,0,0,0,0,371.2466736,0,0,0.007065217,0,0,0,0,49.12392044,0,74.267,0.627
15.11.2024 12.15.00,1.772060513,5055.510742,3215.757813,1202.428223,0,0,0,0,0,0,3166.413086,0,0,0,0,0,0,0,373.6288757,0,0,3.69867E-05,0,0,0,0,49.17295074,0,74.267,0.627
15.11.2024 12.30.00,1.83234632,5482.08252,3205.415039,1227.925537,0,0,0,0,0,0,3162.601563,0,0,0,0,0,0,0,372.1560974,0,0,0,0,0,0,0,49.17607498,0,74.267,0.627
15.11.2024 12.45.00,1.894248128,5936.358398,3197.709473,1253.703247,0,0,0,0,0,0,3172.696533,0,0,0,0,0,0,0,372.0177917,0,0,0,0,0,0,0,49.17919922,0,74.267,0.627
15.11.2024 13.00.00,1.947393775,6307.17334,3526.97583,1252.558899,0,0,0,0,338.3080444,0,3186.818359,0,0,0,0,0,38.92166519,0,371.3155518,0,0,0,0,0,10.39508629,0,49.18220139,0,76.848,0.369
15.11.2024 13.15.00,1.954558253,6321.752441,4847.152832,1226.36731,0,0,0,0,1670.945068,0,3176.654785,0,0,0,0,0,186.7994385,0,370.2626038,0,0,0,0,0,49.29166412,0,49.18426895,0,76.848,0.369
15.11.2024 13.30.00,1.949122787,6303.535645,4833.602051,1190.183716,0,0,0,0,1662.877075,0,3172.0625,0,0,0,0,0,187.7899933,0,371.4218445,0,0,0,0,0,49.29791641,0,49.18614578,0,76.848,0.369
15.11.2024 13.45.00,1.945994735,6285.318359,4839.714844,1191.711426,0,0,0,0,1660.845215,0,3181.859375,0,0,0,0,0,188.3822174,0,372.8633423,0,0,0,0,0,49.30416489,0,49.1880188,0,76.848,0.369
15.11.2024 14.00.00,1.939596772,6259.067871,4829.164063,1181.040527,0,0,0,0,1654.099487,0,3175.614258,0,0,0,0,0,188.4301147,0,376.4394531,0,0,0,0,0,49.31035233,0,49.19009018,0,68.193,0.394
15.11.2024 14.15.00,1.935570002,6203.486816,4776.254395,1138.482544,0,0,0,0,1656.139038,0,3120.335205,0,0,0,0,0,188.9465485,0,378.5527649,0,0,0,0,0,49.31363678,0,49.1936264,0,68.193,0.394
15.11.2024 14.30.00,1.928232074,6145.212891,4749.765625,1129.16748,0,0,0,0,1644.550903,0,3106.902588,0,0,0,0,0,189.2303619,0,378.6655579,0,0,0,0,0,49.31534195,0,49.19746399,0,68.193,0.394
15.11.2024 14.45.00,1.920681119,6084.890137,4808.416992,1141.781494,0,664.3070679,0,0,1262.205811,0,2893.76123,0,0,75.79555511,0,0,144.0240784,0,364.053894,0,0,10.57439041,0,0,38.08356857,0,48.82094955,0,68.193,0.394
15.11.2024 15.00.00,1.895689726,5956.996094,5221.220215,1177.411011,0,3394.778564,0,0,295.3754272,0,1543.704956,0,0,370.2116699,0,0,36.97639084,0,223.628891,0,0,49.51845169,0,0,9.770709038,0,36.72581863,0,62.931,0.507
15.11.2024 15.15.00,1.873424411,5799.896484,5003.047852,1093.662354,0,3460.635254,0,0,1543.001465,0,0,0,0,379.543335,0,0,189.4449921,0,0,0,0,49.81658173,0,0,49.30102921,0,0,0,62.931,0.507
15.11.2024 15.30.00,1.888478756,5888.088867,2960.434326,828.3009644,0,1425.221436,0,0,1561.605591,0,0,0,0,154.8755493,0,0,188.9396057,0,0,0,0,20.20566559,0,0,49.31007385,0,0,0,62.931,0.507
15.11.2024 15.45.00,1.947489023,6351.744141,3679.708496,1383.582397,325.1793823,0,0,3230.952148,95.47984314,0,0,0,38.77730179,0,0,353.6755676,9.441778183,0,0,0,10.67927456,0.007277777,0,48.27036285,2.646518707,0,0,0,62.931,0.507
15.11.2024 16.00.00,1.955788255,6388.39502,4897.311035,1260.978638,1594.963135,0,0,3255.258545,0,0,0,0,181.6566315,0,0,365.0327759,0,0,0,0,49.27577972,0.004777777,0,48.88208389,0,0,0,0,49.447,0.838
15.11.2024 16.15.00,1.948334932,6323.286133,4840.264648,1144.957275,1591.178101,0,0,3207.413818,0,0,0,0,182.3190002,0,0,367.5599976,0,0,0,0,49.27327728,0.002277778,0,48.88520813,0,0,0,0,49.447,0.838
15.11.2024 16.30.00,1.937731266,6258.132324,4808.064941,1136.862427,1587.868164,0,0,3202.195313,0,0,0,0,182.4365692,0,0,368.5496216,0,0,0,0,49.27077866,0.000211265,0,48.88833237,0,0,0,0,49.447,0.838
15.11.2024 16.45.00,1.927230358,6176.873535,4774.76416,1112.432251,1585.126831,0,0,3191.006836,0,0,0,0,183.1699982,0,0,369.9698181,0,0,0,0,49.26834488,0,0,48.8926239,0,0,0,0,49.447,0.838
15.11.2024 17.00.00,1.91492188,6082.61377,4764.644531,1096.901367,1582.160278,0,0,3183.627441,0,0,0,0,183.7056274,0,0,370.4666748,0,0,0,0,49.26836395,0,0,48.89825058,0,0,0,0,51.634,0.906
15.11.2024 17.15.00,1.902037024,5989.19043,4740.718262,1091.756226,1582.899414,0,0,3156.993164,0,0,0,0,183.8748322,0,0,371.0377808,0,0,0,0,49.26961136,0,0,48.90387344,0,0,0,0,51.634,0.906
15.11.2024 17.30.00,1.889849067,5898.287598,4729.675781,1091.516113,1576.630005,0,0,3154.116211,0,0,0,0,183.7323303,0,0,372.5177917,0,0,0,0,49.27086258,0,0,48.90950012,0,0,0,0,51.634,0.906
15.11.2024 17.45.00,1.877888799,5809.280273,4721.529785,1091.375122,1575.544922,0,0,3145.680176,0,0,0,0,184.4287262,0,0,371.9147339,0,0,0,0,49.27206421,0,0,48.91074371,0,0,0,0,51.634,0.906
15.11.2024 18.00.00,1.868131638,5751.599121,4704.625977,1118.475342,1567.433228,0,0,3138.881104,0,0,0,0,184.0712738,0,0,372.6224976,0,0,0,0,49.27163696,0,0,48.90699768,0,0,0,0,47.127,4.719
15.11.2024 18.15.00,1.860940337,5705.578613,4686.679688,1125.649414,1558.488647,0,0,3125.132568,0,0,0,0,184.5513306,0,0,373.0544434,0,0,0,0,49.27038956,0,0,48.90324783,0,0,0,0,47.127,4.719
15.11.2024 18.30.00,1.854314566,5659.558105,4664.316406,1120.058594,1557.314209,0,0,3107.293213,0,0,0,0,184.4549561,0,0,372.831665,0,0,0,0,49.26913834,0,0,48.89949799,0,0,0,0,47.127,4.719
15.11.2024 18.45.00,1.849757075,5615.239746,4647.449707,1117.544067,1556.18689,0,0,3091.281494,0,0,0,0,184.5256653,0,0,373.8851929,0,0,0,0,49.26791382,0,0,48.89545822,0,0,0,0,47.127,4.719
15.11.2024 19.00.00,1.848545551,5601.833008,4616.353516,1140.681641,1553.844849,0,0,3064.023438,0,0,0,0,184.3498077,0,0,374.3659363,0,0,0,0,49.26750183,0,0,48.89108276,0,0,0,0,46.897,13.573
15.11.2024 19.15.00,1.848545551,5599.933105,4603.973145,1149.093384,1552.551392,0,0,3052.130127,0,0,0,0,184.2648163,0,0,374.372345,0,0,0,0,49.26750183,0,0,48.88670731,0,0,0,0,46.897,13.573
15.11.2024 19.30.00,1.848545551,5598.032715,4585.534668,1144.483276,1547.319946,0,0,3036.014404,0,0,0,0,184.2096252,0,0,375.1904297,0,0,0,0,49.26750183,0,0,48.88233566,0,0,0,0,46.897,13.573
15.11.2024 19.45.00,1.848598838,5597.756836,4547.694336,1136.647705,1535.354858,0,0,3013.096436,0,0,0,0,184.4198303,0,0,375.4466553,0,0,0,0,49.26749039,0,0,48.88263321,0,0,0,0,46.897,13.573
15.11.2024 20.00.00,1.850245357,5626.973633,4527.35791,1161.056274,1536.178711,0,0,2989.793457,0,0,0,0,184.1282043,0,0,376.171936,0,0,0,0,49.26707077,0,0,48.88825226,0,0,0,0,37.199,17.324
15.11.2024 20.15.00,1.85315609,5667.168945,4488.705078,1162.371582,1513.141235,0,0,2978.307129,0,0,0,0,184.2667999,0,0,376.491394,0,0,0,0,49.26644516,0,0,48.89387512,0,0,0,0,37.199,17.324
15.11.2024 20.30.00,1.859730482,5707.364258,4468.81543,1157.39917,1506.954224,0,0,2963.147705,0,0,0,0,184.0485535,0,0,375.7900085,0,0,0,0,49.26581955,0,0,48.8995018,0,0,0,0,37.199,17.324
15.11.2024 20.45.00,1.867370248,5749.598633,4449.634766,1154.643066,1493.366333,0,0,2956.76123,0,0,0,0,184.0454407,0,0,376.3599854,0,0,0,0,49.26525116,0,0,48.90191269,0,0,0,0,37.199,17.324
15.11.2024 21.00.00,1.877353787,5828.864258,4445.860352,1190.730713,1491.314941,0,0,2953.567627,0,0,0,0,184.2482147,0,0,377.8377686,0,0,0,0,49.26672363,0,0,48.90066528,0,0,0,0,28.519,8.68
15.11.2024 21.15.00,1.89011538,5921.914063,4432.468262,1201.16687,1486.724243,0,0,2945.233398,0,0,0,0,183.9716644,0,0,377.4055481,0,0,0,0,49.26922226,0,0,48.89941788,0,0,0,0,28.519,8.68
15.11.2024 21.30.00,1.907048821,6032.188477,4424.422852,1216.380127,1486.14856,0,0,2936.15332,0,0,0,0,184.2633362,0,0,377.4294434,0,0,0,0,49.2717247,0,0,48.89816666,0,0,0,0,28.519,8.68
15.11.2024 21.45.00,1.924641371,6165.631348,4412.785156,1236.63916,1490.079468,0,0,2924.575684,0,0,0,0,183.8852844,0,0,377.7399902,0,0,0,0,49.27415848,0,0,48.89866638,0,0,0,0,28.519,8.68
15.11.2024 22.00.00,1.944436908,6318.953125,4416.924805,1257.552979,1494.605591,0,0,2923.607422,0,0,0,0,183.8269806,0,0,378.1297607,0,0,0,0,49.2741394,0,0,48.90116501,0,0,0,0,26.013,3.148
15.11.2024 22.15.00,1.967113495,6488.674316,4422.343262,1275.307007,1492.011108,0,0,2929.516846,0,0,0,0,183.479187,0,0,378.3622131,0,0,0,0,49.27288818,0,0,48.90366745,0,0,0,0,26.013,3.148
15.11.2024 22.30.00,1.990453482,6671.421875,4426.480957,1289.367798,1502.731567,0,0,2922.683838,0,0,0,0,184.0008545,0,0,378.1975098,0,0,0,0,49.27164078,0,0,48.90616608,0,0,0,0,26.013,3.148
15.11.2024 22.45.00,2.013852358,6858.812988,4428.569336,1294.533447,1506.338623,0,0,2925.425537,0,0,0,0,184.3520355,0,0,378.1158752,0,0,0,0,49.27051163,0,0,48.90471268,0,0,0,0,26.013,3.148
15.11.2024 23.00.00,2.037190437,7055.303223,4444.01416,1307.493774,1507.740479,0,0,2937.817627,0,0,0,0,185.4870911,0,0,382.0929871,0,0,0,0,49.34674835,0,0,49.03890991,0,0,0,0,7.068,0.956
15.11.2024 23.15.00,2.055957556,7210.519531,4551.35791,1293.055786,1538.43457,0,0,3015.662598,0,0,0,0,188.9082947,0,0,394.6977844,0,0,0,0,49.5363884,0,0,49.39729309,0,0,0,0,7.068,0.956
15.11.2024 23.30.00,2.074581146,7362.979004,4545.691406,1288.882324,1530.53479,0,0,3015.289307,0,0,0,0,188.6912231,0,0,394.1444397,0,0,0,0,49.54138947,0,0,49.4066658,0,0,0,0,7.068,0.956
15.11.2024 23.45.00,2.093911171,7526.364258,4554.121094,1301.915527,1531.372314,0,0,3021.392334,0,0,0,0,188.7615509,0,0,394.2466736,0,0,0,0,49.54639053,0,0,49.41604233,0,0,0,0,7.068,0.956
16.11.2024 0.00.00,2.112486601,7680.420898,4562.685059,1294.727905,1546.745239,0,0,3014.854736,0,0,0,0,190.2037354,0,0,394.9966736,0,0,0,0,49.55126953,0,0,49.42483902,0,0,0,0,1.705,0.373
16.11.2024 0.15.00,2.129216194,7821.015137,4597.243652,1289.905151,1582.086792,0,0,3014.561768,0,0,0,0,191.6326447,0,0,394.6038818,0,0,0,0,49.55395889,0,0,49.42312622,0,0,0,0,1.705,0.373
16.11.2024 0.30.00,2.143829107,7946.45459,4607.258301,1277.254028,1584.049805,0,0,3024.661133,0,0,0,0,191.6913605,0,0,394.9411011,0,0,0,0,49.55583572,0,0,49.41749954,0,0,0,0,1.705,0.373
16.11.2024 0.45.00,2.154743195,8018.683594,4618.518555,1226.858643,1588.208618,0,0,3026.758789,0,0,0,0,191.7012634,0,0,394.5161133,0,0,0,0,49.55770874,0,0,49.41187286,0,0,0,0,1.705,0.373
16.11.2024 1.00.00,2.161939383,8077.443359,4611.910156,1211.737305,1585.137329,0,0,3025.868652,0,0,0,0,191.3695526,0,0,394.2072144,0,0,0,0,49.55948639,0,0,49.40656281,0,0,0,0,0.238,0.343
16.11.2024 1.15.00,2.166849613,8136.202637,4614.484375,1212.380371,1590.534058,0,0,3027.70166,0,0,0,0,191.3471527,0,0,394.1294556,0,0,0,0,49.55951309,0,0,49.40694427,0,0,0,0,0.238,0.343
16.11.2024 1.30.00,2.170004129,8175.095215,4614.132813,1192.425781,1588.489624,0,0,3027.656738,0,0,0,0,191.0498352,0,0,393.9477844,0,0,0,0,49.55888748,0,0,49.4094429,0,0,0,0,0.238,0.343
16.11.2024 1.45.00,2.168781757,8138.548828,4619.62793,1118.360596,1588.867554,0,0,3031.295898,0,0,0,0,190.7263947,0,0,393.2711182,0,0,0,0,49.55826187,0,0,49.41194534,0,0,0,0,0.238,0.343
16.11.2024 2.00.00,2.167117119,8094.679199,4629.131348,1113.413208,1593.439941,0,0,3039.722412,0,0,0,0,190.6011047,0,0,393.4689026,0,0,0,0,49.55761337,0,0,49.4143486,0,0,0,0,0.153,0.296
16.11.2024 2.15.00,2.160576344,8050.810059,4631.313965,1113.959351,1591.31665,0,0,3039.42041,0,0,0,0,190.8146362,0,0,393.6633301,0,0,0,0,49.55652618,0,0,49.41500092,0,0,0,0,0.153,0.296
16.11.2024 2.30.00,2.14842701,7984.688477,4614.407227,1087.480225,1585.08313,0,0,3028.934814,0,0,0,0,190.2292633,0,0,392.8707275,0,0,0,0,49.55527878,0,0,49.41500092,0,0,0,0,0.153,0.296
16.11.2024 2.45.00,2.130218744,7833.565918,4614.521484,1002.507813,1582.250366,0,0,3032.260498,0,0,0,0,190.6123352,0,0,393.2231445,0,0,0,0,49.55402756,0,0,49.41500092,0,0,0,0,0.153,0.296
16.11.2024 3.00.00,2.110006332,7662.651855,4611.918945,982.0656738,1580.97876,0,0,3028.795654,0,0,0,0,190.5924072,0,0,392.5688782,0,0,0,0,49.55287552,0,0,49.41490555,0,0,0,0,0.102,0.281
16.11.2024 3.15.00,2.089285851,7491.533203,4607.290527,980.7039795,1579.887329,0,0,3031.73291,0,0,0,0,190.6826477,0,0,393.0111084,0,0,0,0,49.55347443,0,0,49.41305542,0,0,0,0,0.102,0.281
16.11.2024 3.30.00,2.070044756,7320.04248,4581.436523,973.8684082,1570.008545,0,0,3014.003906,0,0,0,0,190.0977783,0,0,391.992218,0,0,0,0,49.55472183,0,0,49.41055679,0,0,0,0,0.102,0.281
16.11.2024 3.45.00,2.046350718,7121.361328,4572.544922,944.4550781,1570.901245,0,0,3001.240967,0,0,0,0,190.1381378,0,0,391.8127747,0,0,0,0,49.55597305,0,0,49.40805435,0,0,0,0,0.102,0.281
16.11.2024 4.00.00,2.016462088,6876.239746,4564.099609,895.9033203,1569.015259,0,0,2995.197754,0,0,0,0,190.2040863,0,0,391.6316528,0,0,0,0,49.55717468,0,0,49.40572357,0,0,0,0,0.241,0.297
16.11.2024 4.15.00,1.977847099,6574.781738,4563.310059,839.3695068,1560.655273,0,0,2999.071045,0,0,0,0,189.9542694,0,0,390.7477722,0,0,0,0,49.55749893,0,0,49.40645599,0,0,0,0,0.241,0.297
